age,sex,edu,race,income,us_residency,wb,mind,belong,efficacy,support,idea,soc_med,npi,moa_ach,moa_import
NA,male,currentlyenrolled,white,"100-199,999",yes,6.333333333,4.466666667,2.1,3.8,56,3.25,22,3,34,48
NA,female,currentlyenrolled,Asian-Pacific,"100-199,999",yes,5.833333333,3.4,3.3,3.9,70,3.75,37,9,31,63
NA,female,currentlyenrolled,white,"under20,000",yes,4.166666667,5,2,3.1,55,3.75,29,1,60,77
NA,female,currentlyenrolled,white,"80-99,999",yes,4.666666667,2.533333333,4,3.3,64,3.375,41,8,37,60
NA,female,currentlyenrolled,white,"60-79,999",yes,5.166666667,4.533333333,3.6,2.6,62,3.5,33,0,39,80
NA,male,currentlyenrolled,white,"60-79,999",yes,5.166666667,5.2,2.4,3.7,46,3.625,29,6,37,60
NA,female,currentlyenrolled,Asian-Pacific,not say,yes,4,3,4.4,2.1,50,4,37,4,37,71
NA,female,currentlyenrolled,AfricanAmerican,not say,yes,4.666666667,3.866666667,2.6,2.9,61,4,29,5,28,53
NA,female,currentlyenrolled,white,"40-59,999",yes,5.666666667,3.6,3.8,2.7,81,3.875,38,4,38,70
NA,female,currentlyenrolled,white,"60-79,999",yes,4.833333333,3.8,3,3.5,58,4,37,4,42,70
NA,male,currentlyenrolled,white,not say,yes,5.5,4.6,2.8,3.1,71,3.5,24,1,39,69
NA,female,currentlyenrolled,white,"200-999,999",yes,7,2.533333333,2.5,3,84,3.75,37,6,28,78
NA,female,currentlyenrolled,"2,3,5",not say,yes,1.666666667,3.533333333,3.5,1.8,17,3.5,26,2,39,39
NA,female,currentlyenrolled,"1,2,6",not say,yes,5.833333333,4.733333333,1.4,2.6,81,2.25,18,2,29,55
NA,male,currentlyenrolled,white,"100-199,999",yes,3.666666667,3.133333333,3.3,2.9,71,3.625,38,5,37,49
NA,male,currentlyenrolled,"3,4","200-999,999",yes,5.166666667,4.733333333,3.6,3,75,4,39,4,32,73
NA,female,currentlyenrolled,white,not say,yes,3.5,3.2,4.2,2.9,51,3.5,27,8,34,56
NA,female,currentlyenrolled,white,"100-199,999",yes,5.5,3.866666667,2.3,2.7,62,3,34,6,43,59
NA,female,currentlyenrolled,white,"20-39,999",yes,6,4.8,3.1,2.9,76,3.75,38,2,36,69
NA,male,currentlyenrolled,white,"60-79,999",yes,6.5,4.866666667,3.4,3.9,78,3.5,35,7,38,69
NA,other,currentlyenrolled,white,"200-999,999",yes,3.5,4.066666667,3.5,3,68,4,33,3,32,60
NA,female,currentlyenrolled,white,not say,yes,4.333333333,1.866666667,3.7,3.5,72,3.875,48,5,36,74
NA,male,currentlyenrolled,white,"80-99,999",yes,3.5,2.466666667,2.9,3.2,68,3.75,11,0,33,62
NA,female,currentlyenrolled,white,"40-59,999",yes,1.166666667,2.933333333,3.1,2.9,38,3.375,33,2,29,55
NA,male,currentlyenrolled,white,"80-99,999",yes,5.166666667,3.6,2.9,2.9,72,3.5,35,3,38,75
NA,female,currentlyenrolled,white,not say,yes,4.166666667,3.533333333,2.8,3,84,4,26,2,36,62
NA,male,currentlyenrolled,white,"100-199,999",yes,2.166666667,3.6,4.5,2.6,63,3.5,44,1,32,68
NA,female,currentlyenrolled,Native,"20-39,999",yes,3.333333333,2.266666667,2.3,2.9,41,4,31,4,42,53
NA,male,currentlyenrolled,white,"40-59,999",yes,3.833333333,4.4,2.4,3.8,60,3.75,37,10,35,69
NA,female,currentlyenrolled,white,"100-199,999",yes,6.833333333,3.066666667,3.7,3.2,80,3.875,29,4,28,71
NA,male,currentlyenrolled,white,not say,yes,5,4.533333333,3.2,3,75,3.875,23,0,43,71
NA,male,currentlyenrolled,white,not say,yes,6.666666667,3.066666667,2.9,3.3,83,3.75,29,7,39,73
NA,male,currentlyenrolled,white,"80-99,999",yes,3.666666667,3.266666667,2.9,3.7,44,3.875,33,4,36,80
NA,male,currentlyenrolled,white,"200-999,999",yes,5.833333333,4.8,2.7,3.7,74,3.75,42,5,37,72
NA,male,currentlyenrolled,Asian-Pacific,not say,no,5.5,3.4,3.6,3.5,60,3,30,6,39,60
NA,male,currentlyenrolled,white,not say,yes,5.5,4.6,2.3,2.9,60,3,30,3,32,69
NA,female,currentlyenrolled,white,"40-59,999",yes,6,3.666666667,2.1,4,74,3.375,41,7,44,76
NA,male,currentlyenrolled,white,not say,yes,4.5,4.066666667,2.8,3.1,70,3.5,30,2,35,60
NA,male,currentlyenrolled,Hispanic,"under20,000",yes,3.166666667,4.266666667,3.3,3,60,3.75,33,4,25,37
19,female,currentlyenrolled,white,"20-39,999",yes,4.666666667,3,4.1,2.7,72,3.875,45,5,33,72
20,female,currentlyenrolled,white,not say,yes,4.666666667,2.6,3.5,2.4,73,3.875,32,1,49,60
21,female,currentlyenrolled,Asian-Pacific,not say,yes,3,3.6,2.5,2.9,67,3.25,24,1,39,67
19,female,currentlyenrolled,white,not say,yes,4.5,1.933333333,3.9,2.7,80,3.625,37,5,38,40
20,female,currentlyenrolled,white,"under20,000",yes,3.833333333,3.866666667,3.6,3.1,81,3.625,39,6,35,69
19,female,currentlyenrolled,white,not say,yes,3.333333333,2,3.7,3.3,38,4,41,5,58,77
20,female,currentlyenrolled,white,"60-79,999",yes,5.5,1.6,4.2,3,75,3.75,49,5,38,62
19,female,currentlyenrolled,white,not say,yes,4.333333333,3.133333333,4.8,3.4,59,4,36,0,35,73
19,female,currentlyenrolled,white,"40-59,999",yes,3.666666667,2.666666667,4.2,3.2,65,3.5,37,4,36,78
20,male,currentlyenrolled,white,"40-59,999",yes,3.166666667,5,3.6,3.8,41,4,23,1,43,67
20,male,currentlyenrolled,white,"60-79,999",yes,4.666666667,5.6,2.7,2.7,53,3.75,34,7,29,56
18,male,currentlyenrolled,white,"100-199,999",yes,3.333333333,3.666666667,3.5,3.6,74,3.5,28,6,35,74
19,female,currentlyenrolled,white,"60-79,999",yes,5.5,3.466666667,2.4,3,70,4,34,5,38,52
18,male,currentlyenrolled,Hispanic,"under20,000",yes,3.666666667,3.4,3.2,3,60,3.25,41,5,29,76
19,male,currentlyenrolled,white,"100-199,999",yes,2.833333333,3,3.5,3.9,57,4,33,4,37,64
19,male,currentlyenrolled,white,not say,yes,2.166666667,2.733333333,2.3,2.5,43,3.75,11,1,35,64
20,female,currentlyenrolled,white,not say,yes,4.333333333,3.066666667,4.3,3,52,3,33,3,38,58
18,female,currentlyenrolled,white,"200-999,999",yes,5.833333333,2.4,3,3,84,4,40,6,33,78
20,female,currentlyenrolled,white,"60-79,999",yes,1.5,4,1.9,2.6,54,3.875,38,3,32,56
19,male,currentlyenrolled,"1,3",not say,yes,2.833333333,4.266666667,4.6,1.8,57,3.75,27,0,29,53
19,male,currentlyenrolled,white,not say,yes,5,2,3.9,3.1,71,4,19,6,38,75
19,female,currentlyenrolled,"2,4","60-79,999",yes,2.333333333,3.4,3.5,2.2,58,4,29,1,31,59
19,female,currentlyenrolled,white,"under20,000",yes,6.166666667,3.466666667,4.6,3.6,78,3.625,38,6,34,67
19,male,currentlyenrolled,white,"100-199,999",yes,2.166666667,3.666666667,4.6,2.3,63,3.875,48,0,31,75
18,female,currentlyenrolled,white,"60-79,999",yes,3,3.133333333,3.1,2.9,59,4,32,8,35,65
18,male,currentlyenrolled,white,"under20,000",yes,5,4.8,4.2,2.8,76,3.75,23,1,30,62
18,female,currentlyenrolled,white,"60-79,999",yes,4.333333333,4.266666667,3.6,2.6,64,3.5,26,2,36,62
20,female,currentlyenrolled,white,"60-79,999",yes,5.5,3.933333333,3.5,3,74,4,35,3,36,66
18,female,currentlyenrolled,white,"under20,000",yes,4.166666667,4.133333333,3.1,2.8,56,3,35,6,43,56
19,female,currentlyenrolled,white,"200-999,999",yes,3,2.066666667,4.2,2.4,63,3.375,36,1,26,55
20,female,currentlyenrolled,white,not say,yes,3.666666667,3.333333333,3.5,2.8,44,3.375,11,3,37,57
19,female,currentlyenrolled,"3,4","40-59,999",yes,4,3.466666667,3.7,2.9,77,3.375,43,7,33,62
21,female,currentlyenrolled,Asian-Pacific,"under20,000",yes,4.333333333,4.8,2.5,3,73,3.75,37,1,32,67
20,female,currentlyenrolled,white,"under20,000",no,1,3.4,3.7,2.4,56,3.875,30,0,37,67
21,female,currentlyenrolled,white,not say,yes,3.5,3.4,3.8,2.9,73,4,29,0,40,72
19,male,currentlyenrolled,white,"20-39,999",yes,4.833333333,4.533333333,3.2,3.4,78,3.5,22,1,39,68
21,other,currentlyenrolled,"2,6","80-99,999",yes,3.166666667,4.066666667,3.4,2.6,30,3.375,35,7,41,45
18,male,currentlyenrolled,Hispanic,"under20,000",yes,1.833333333,4.2,1.7,3.9,58,2.625,34,3,43,49
19,female,currentlyenrolled,white,not say,yes,5.166666667,4.266666667,3.7,3.8,75,3.75,45,4,35,61
20,male,currentlyenrolled,white,"200-999,999",yes,2.833333333,2.066666667,1.5,3.2,37,3,11,1,34,65
20,female,currentlyenrolled,Asian-Pacific,not say,yes,3.666666667,3.4,3.9,2.8,78,3.5,43,4,32,68
19,female,currentlyenrolled,white,"40-59,999",yes,5,3.266666667,4,3.2,71,3.875,36,2,32,71
20,female,currentlyenrolled,white,"80-99,999",yes,6,3.066666667,2.8,3.2,79,4,34,2,33,74
20,male,currentlyenrolled,white,"100-199,999",yes,5.333333333,3.266666667,4.2,3,79,4,40,10,32,68
NA,female,currentlyenrolled,white,not say,yes,1.666666667,3.333333333,4.4,2.1,41,3.25,38,1,28,57
NA,female,currentlyenrolled,white,"100-199,999",yes,5.833333333,3.333333333,3,2.8,65,3.5,28,2,38,42
NA,female,currentlyenrolled,white,"100-199,999",yes,5,4,2.8,3.3,57,3,34,4,43,58
NA,female,currentlyenrolled,white,not say,yes,2.333333333,4,5,2.6,67,3.625,30,2,29,53
NA,male,currentlyenrolled,Asian-Pacific,"60-79,999",yes,5.833333333,4.733333333,3.1,3.2,57,3.5,12,2,34,72
NA,female,currentlyenrolled,AfricanAmerican,"60-79,999",yes,3.833333333,4.466666667,3.3,3.3,67,4,27,9,38,66
NA,female,currentlyenrolled,white,not say,yes,5.166666667,3.733333333,3.8,3.5,84,3.875,41,2,37,64
NA,male,currentlyenrolled,Asian-Pacific,not say,no,5.166666667,3.733333333,4.2,3,72,3.875,36,2,34,73
NA,female,currentlyenrolled,white,"under20,000",yes,6,3,3.6,3.4,84,4,47,8,34,51
NA,female,currentlyenrolled,white,not say,yes,6.166666667,3.466666667,4.4,3,84,3.625,32,0,40,65
NA,female,currentlyenrolled,white,"80-99,999",yes,7,5.066666667,3.4,3,84,3.75,27,5,33,78
NA,female,currentlyenrolled,white,not say,yes,2.166666667,4.133333333,2.9,3.2,56,3.875,48,3,38,65
NA,female,currentlyenrolled,white,"80-99,999",yes,5,1.733333333,3.5,3,61,3.375,33,7,40,78
NA,female,currentlyenrolled,white,not say,yes,4.333333333,3.533333333,3.5,2.8,55,3.625,33,0,34,54
NA,female,currentlyenrolled,white,"20-39,999",yes,3.166666667,1.333333333,NA,1.7,71,3.75,45,6,39,76
NA,female,currentlyenrolled,white,"80-99,999",yes,5.5,3.933333333,2.7,3.2,75,4,33,3,35,54
NA,female,currentlyenrolled,white,"200-999,999",yes,3.166666667,4.866666667,4.9,2.3,69,3.75,36,2,30,71
NA,female,currentlyenrolled,white,not say,yes,4.166666667,4.2,2.8,3,55,3.5,24,0,37,57
NA,female,currentlyenrolled,white,"80-99,999",yes,6,3.733333333,3.6,3.3,84,3.75,43,4,36,54
NA,female,currentlyenrolled,white,"100-199,999",yes,5.166666667,4.466666667,3.1,2.8,60,3.625,41,4,32,69
NA,female,currentlyenrolled,white,not say,yes,5,3.4,2.3,3.3,77,4,34,1,40,55
NA,male,currentlyenrolled,white,"under20,000",yes,4.666666667,4,3.3,3,67,3.75,33,4,41,61
NA,female,currentlyenrolled,white,"40-59,999",yes,5.5,4.066666667,2.5,3.1,75,3.75,41,2,38,62
NA,female,currentlyenrolled,AfricanAmerican,"40-59,999",yes,1.833333333,1.866666667,4.5,2.5,39,3.75,30,2,30,64
NA,female,currentlyenrolled,"2,6","20-39,999",yes,5,4.6,1.6,3.6,55,3.25,33,8,43,70
NA,female,currentlyenrolled,white,"60-79,999",yes,4.166666667,3.2,3.4,2.9,58,4,28,6,33,49
NA,female,currentlyenrolled,white,"100-199,999",yes,5.666666667,3.6,4.3,3.3,84,4,51,2,37,70
NA,female,currentlyenrolled,other,not say,yes,1.333333333,4,3.1,2.5,52,3.875,23,2,28,65
NA,male,currentlyenrolled,AfricanAmerican,not say,yes,5,4,2.9,3.2,72,3.25,43,6,38,57
NA,female,currentlyenrolled,white,"80-99,999",yes,4.666666667,3.266666667,4.2,2,68,3.625,40,3,35,59
NA,female,currentlyenrolled,other,"20-39,999",yes,3,4.2,2.6,3.2,56,3.75,37,7,49,69
NA,female,currentlyenrolled,white,"80-99,999",yes,4.833333333,2.666666667,3.5,3.4,75,3.125,27,9,47,54
NA,male,currentlyenrolled,"1,5","100-199,999",yes,4.5,4.266666667,3.2,3.8,62,3.75,45,11,44,68
NA,male,currentlyenrolled,white,not say,yes,2.833333333,4,3.7,3.3,69,3.375,31,6,36,64
NA,male,currentlyenrolled,white,"80-99,999",yes,6,4.2,2.6,2.9,67,3.375,44,2,40,61
NA,male,currentlyenrolled,white,not say,yes,3.5,3.066666667,2.2,3.5,51,3.5,24,3,25,32
NA,female,currentlyenrolled,AfricanAmerican,not say,yes,1,3.866666667,4.1,2.5,55,3.5,34,4,30,62
NA,male,currentlyenrolled,Hispanic,not say,yes,4.833333333,3.933333333,3.1,3.5,72,3.625,35,7,38,74
NA,female,currentlyenrolled,"1,4",not say,yes,5.5,3.333333333,3.1,4,81,3.875,55,9,57,75
NA,male,currentlyenrolled,AfricanAmerican,"20-39,999",yes,5.166666667,4.733333333,1.9,3.4,69,3.75,33,3,57,77
NA,male,currentlyenrolled,white,"80-99,999",yes,5.666666667,4.266666667,2.3,3.1,71,3.625,38,1,56,71
NA,male,currentlyenrolled,white,"40-59,999",yes,5.666666667,3.733333333,3.8,3.2,72,3.75,30,2,34,71
NA,male,currentlyenrolled,Hispanic,"under20,000",yes,5.833333333,2.866666667,2.9,3.1,82,3.375,41,5,37,79
NA,female,currentlyenrolled,white,"80-99,999",yes,5.5,3.533333333,3,3,79,3.875,37,5,33,75
NA,male,currentlyenrolled,white,not say,yes,6.166666667,3.933333333,3.5,3.3,76,3.625,35,2,40,66
NA,female,currentlyenrolled,AfricanAmerican,not say,yes,3.5,3.866666667,3.2,3.4,69,3.5,22,4,39,64
NA,male,currentlyenrolled,white,"100-199,999",yes,4,3.866666667,3.1,2.7,42,3.5,38,3,22,59
NA,male,currentlyenrolled,white,"80-99,999",yes,6.5,4.266666667,2.1,3.5,69,3.375,43,3,39,62
NA,female,currentlyenrolled,white,"100-199,999",yes,4.333333333,2.866666667,3.4,3.6,69,3.875,28,2,33,64
NA,male,currentlyenrolled,white,"under20,000",yes,2.833333333,4.266666667,3.4,3.3,62,3.625,42,2,35,69
NA,female,currentlyenrolled,white,"60-79,999",yes,7,5.2,2,4,72,4,35,6,38,80
NA,male,currentlyenrolled,white,not say,yes,4,4.133333333,3,4,47,3.875,19,4,25,30
NA,male,currentlyenrolled,white,"40-59,999",yes,5.833333333,4.466666667,3.4,3.5,68,3.625,35,2,37,73
NA,male,currentlyenrolled,white,"200-999,999",yes,5,4.6,4.8,3.7,84,4,21,4,35,64
NA,female,currentlyenrolled,white,"100-199,999",yes,4.833333333,3.333333333,4.5,3.3,80,4,42,2,34,76
NA,male,currentlyenrolled,Hispanic,not say,yes,5.5,4.333333333,2.9,2.6,64,3.25,35,3,34,68
NA,male,currentlyenrolled,white,"60-79,999",yes,6.166666667,2.666666667,2.7,3.1,75,3.75,24,3,36,73
NA,male,currentlyenrolled,white,"100-199,999",yes,7,5.066666667,3,2.8,84,4,45,8,40,66
19,male,currentlyenrolled,white,"200-999,999",yes,5.5,3.4,4.9,3.6,84,3.875,19,3,34,70
19,female,currentlyenrolled,white,"60-79,999",yes,7,4.733333333,2,4,84,4,34,8,37,79
20,female,currentlyenrolled,white,"under20,000",yes,3.166666667,4.466666667,3.6,3.1,58,3.875,36,3,36,64
19,female,currentlyenrolled,white,not say,yes,6.5,3.933333333,3.5,2.9,70,3.5,41,5,38,73
19,female,currentlyenrolled,white,"80-99,999",yes,3,2.8,4.3,3,70,3.5,36,0,37,80
18,female,currentlyenrolled,AfricanAmerican,NA,yes,6.166666667,4,3,3,48,3,37,10,44,74
18,female,currentlyenrolled,white,not say,yes,5.166666667,3.2,4,3.2,71,3.625,41,7,33,61
24,female,currentlyenrolled,"1,5","under20,000",yes,2.833333333,3,3.8,3,64,3.375,27,6,50,77
20,female,currentlyenrolled,white,"60-79,999",yes,3.333333333,2.8,3.3,2.4,70,3.375,37,1,35,56
21,female,currentlyenrolled,AfricanAmerican,"40-59,999",yes,1.333333333,2.866666667,3.2,3,24,3.875,26,5,37,55
19,female,currentlyenrolled,AfricanAmerican,"under20,000",yes,1.166666667,2.866666667,4.3,2.8,36,4,38,7,37,75
22,female,currentlyenrolled,white,not say,yes,4,3.533333333,3.9,2.6,80,3.75,34,2,37,69
19,male,currentlyenrolled,white,"80-99,999",yes,4,4,3.6,3.1,63,3.375,40,4,36,71
20,female,currentlyenrolled,"1,2","100-199,999",yes,6,4,3.8,4,84,4,55,6,60,80
20,female,currentlyenrolled,white,"80-99,999",yes,6.833333333,4.933333333,3.5,3,84,3.875,44,5,41,55
19,female,currentlyenrolled,white,"60-79,999",yes,6.166666667,4.8,4.1,2.9,71,3.75,26,4,41,58
19,female,currentlyenrolled,Hispanic,"40-59,999",yes,6,5,2.3,2.8,78,3.75,30,3,39,58
20,female,currentlyenrolled,white,"100-199,999",yes,5.666666667,4.4,2.7,3.5,69,3.375,36,3,42,53
19,female,currentlyenrolled,white,not say,yes,5.333333333,3.4,4.5,3.5,78,4,39,6,36,75
20,female,currentlyenrolled,AfricanAmerican,"under20,000",yes,3.833333333,3.8,4.3,3.1,62,3.875,27,6,39,69
26,male,currentlyenrolled,"2,4",not say,yes,3.166666667,3.2,2.2,2.7,53,3,34,3,34,49
25,female,currentlyenrolled,white,"under20,000",yes,2.5,2.466666667,4.2,2.5,67,2.75,36,2,46,58
NA,female,currentlyenrolled,Asian-Pacific,"200-999,999",yes,4,3.6,3.8,1.9,66,3.375,24,3,2,67
NA,female,currentlyenrolled,white,"100-199,999",yes,1.5,2.133333333,3.7,3,54,4,32,2,34,75
NA,female,currentlyenrolled,white,"80-99,999",yes,6.166666667,5.2,3.8,3.2,84,4,53,5,34,80
NA,female,currentlyenrolled,Asian-Pacific,"80-99,999",no,5.5,4.333333333,3.6,3,74,3.25,43,2,34,69
NA,female,currentlyenrolled,Asian-Pacific,not say,no,4.666666667,5.666666667,3.2,2.8,77,3.375,33,4,39,45
NA,female,currentlyenrolled,"1,4","20-39,999",yes,2.333333333,1.933333333,4.4,2.5,70,3.5,35,5,44,74
NA,female,currentlyenrolled,white,not say,yes,3.666666667,3.933333333,4.9,2.8,76,4,46,6,41,79
NA,female,currentlyenrolled,white,"80-99,999",yes,4.166666667,3.8,2.9,2.9,77,3.625,44,7,32,68
NA,female,currentlyenrolled,white,"40-59,999",yes,5.166666667,3.466666667,2.9,2.8,70,3.75,16,0,36,76
NA,female,currentlyenrolled,"1,3","200-999,999",yes,5.666666667,2.533333333,4.2,3.3,13,3.25,54,6,40,75
NA,female,currentlyenrolled,white,not say,yes,3.166666667,2.8,2.6,3.4,69,3.375,31,2,31,69
NA,female,currentlyenrolled,white,"100-199,999",yes,5.5,3.933333333,3.6,3.5,66,3.625,25,7,36,76
NA,female,currentlyenrolled,AfricanAmerican,"40-59,999",yes,5.333333333,2.333333333,1.6,4,78,4,55,7,38,69
NA,female,currentlyenrolled,white,"under20,000",yes,2.666666667,2.6,4.4,3.5,56,3.625,41,2,39,53
NA,male,currentlyenrolled,AfricanAmerican,"100-199,999",yes,2.833333333,3.066666667,3.5,2.9,45,3.75,34,9,29,64
NA,female,currentlyenrolled,white,"20-39,999",yes,5.5,3.2,2.9,3,61,3.875,53,3,38,76
NA,female,currentlyenrolled,white,"60-79,999",yes,2.166666667,2.066666667,2,4,45,4,25,9,35,63
NA,female,currentlyenrolled,Asian-Pacific,"under20,000",yes,4.5,4.133333333,3.2,3,60,4,28,2,38,49
NA,female,currentlyenrolled,white,"60-79,999",yes,3.166666667,3.266666667,4.1,3.2,79,3.625,21,2,38,72
NA,male,currentlyenrolled,AfricanAmerican,"60-79,999",yes,4.666666667,3.333333333,3.7,2.9,69,4,31,4,33,69
NA,female,currentlyenrolled,white,"100-199,999",yes,4,3.066666667,4.4,2.9,79,4,50,5,29,72
NA,female,currentlyenrolled,white,"under20,000",yes,3.166666667,3.2,4.3,3.1,51,3.75,39,1,38,69
NA,male,currentlyenrolled,white,"20-39,999",yes,4.333333333,5,3.2,3.3,67,4,29,4,33,66
NA,female,currentlyenrolled,AfricanAmerican,not say,yes,4.5,4.6,3.1,2.8,72,3,37,0,38,58
NA,female,currentlyenrolled,white,not say,yes,4.666666667,3.2,3.4,2.7,73,3.25,34,4,30,65
NA,male,currentlyenrolled,white,not say,no,4.333333333,4.6,3.7,3.3,41,3.125,11,3,44,41
NA,male,currentlyenrolled,AfricanAmerican,"40-59,999",yes,5.333333333,3.666666667,3.9,3.7,68,3.875,35,0,51,73
NA,female,currentlyenrolled,AfricanAmerican,not say,yes,5.333333333,5.4,3,3.4,69,3.875,38,7,36,76
NA,female,currentlyenrolled,AfricanAmerican,"40-59,999",yes,5.333333333,4.733333333,2.6,3,83,3.625,44,7,38,72
NA,female,currentlyenrolled,white,not say,yes,4.833333333,3.6,4.1,3,72,3.875,32,3,43,61
NA,female,currentlyenrolled,AfricanAmerican,"40-59,999",yes,5.833333333,5.666666667,2,3.6,75,3.75,34,4,37,69
NA,female,currentlyenrolled,Hispanic,"20-39,999",no,6.333333333,3.6,4.1,3,84,4,43,2,39,78
NA,female,currentlyenrolled,white,not say,yes,6.666666667,4.6,3.4,3.3,82,4,44,1,37,67
NA,female,currentlyenrolled,AfricanAmerican,"40-59,999",yes,6.833333333,2.4,1.9,3.2,73,3.25,51,6,41,54
NA,female,currentlyenrolled,white,not say,yes,6.5,5.133333333,3.9,3.7,84,3.625,19,0,46,63
NA,female,currentlyenrolled,white,not say,yes,3.333333333,4.2,3.9,3.5,69,3.25,32,2,35,76
20,female,currentlyenrolled,white,"60-79,999",yes,5,3.666666667,3.6,3.4,84,3.75,36,1,37,69
19,female,currentlyenrolled,white,not say,yes,4,5.066666667,3.3,3.8,70,3.875,31,1,39,70
20,female,currentlyenrolled,AfricanAmerican,not say,yes,5.333333333,4.933333333,1.7,3.8,57,4,25,5,35,72
20,female,currentlyenrolled,white,"60-79,999",yes,5.333333333,3.133333333,3.7,3.8,78,4,49,7,40,61
19,female,currentlyenrolled,white,not say,yes,2.166666667,3.4,4.5,2.9,39,4,46,6,39,76
20,female,currentlyenrolled,white,"100-199,999",yes,4,2.333333333,5,3.7,84,4,51,2,28,61
19,male,currentlyenrolled,white,"100-199,999",yes,5.333333333,2.533333333,2.9,3.1,77,4,47,3,44,62
20,female,currentlyenrolled,white,"100-199,999",yes,3,2.8,2.9,2.8,77,4,41,3,38,70
20,female,currentlyenrolled,Asian-Pacific,"60-79,999",yes,4.166666667,4.066666667,3.1,2.7,57,3.375,31,1,31,68
19,female,currentlyenrolled,white,"60-79,999",yes,5.166666667,5.266666667,3.5,3,74,4,37,0,39,58
21,female,currentlyenrolled,white,"under20,000",yes,4.166666667,3.133333333,3.6,3,72,3,44,1,32,70
21,female,currentlyenrolled,white,"80-99,999",yes,4.833333333,4,2.1,3,84,3.75,24,1,34,64
20,female,currentlyenrolled,white,"100-199,999",yes,5,5,3.4,2.7,61,3.625,30,3,33,78
19,female,currentlyenrolled,white,"100-199,999",yes,5.333333333,2.666666667,4.6,3,76,4,17,3,34,46
19,female,currentlyenrolled,AfricanAmerican,"40-59,999",yes,1.666666667,3.4,3.7,2.8,84,4,53,1,31,62
21,female,currentlyenrolled,white,"under20,000",yes,3.5,5.066666667,3.6,2.5,51,3.875,25,2,37,61
19,female,currentlyenrolled,white,"under20,000",yes,3,2.133333333,1.3,3.8,61,3.5,33,9,48,65
21,other,currentlyenrolled,white,"200-999,999",yes,5.166666667,3.733333333,2.9,2.8,82,3.75,41,5,53,58
20,female,currentlyenrolled,AfricanAmerican,"80-99,999",yes,4.833333333,5.066666667,2.8,3.3,77,3.75,17,2,38,74
20,female,currentlyenrolled,AfricanAmerican,"80-99,999",yes,2.833333333,3.4,2.1,3.6,53,3.5,41,5,45,68
21,female,currentlyenrolled,white,"100-199,999",yes,3.333333333,3.066666667,2.6,2.8,66,4,33,3,31,70
20,female,currentlyenrolled,white,"60-79,999",yes,4.333333333,3.533333333,3.7,2.7,58,3.125,33,8,36,52
21,female,currentlyenrolled,white,"200-999,999",yes,5,3.333333333,4.1,3,76,4,42,3,38,72
19,female,currentlyenrolled,white,"200-999,999",yes,5.833333333,3.733333333,3.7,3,72,3.75,30,6,35,58
21,female,currentlyenrolled,AfricanAmerican,"100-199,999",yes,5.833333333,3.533333333,4.4,3.4,82,4,38,4,35,63
20,male,currentlyenrolled,white,"80-99,999",yes,1.166666667,2.8,3.9,3.3,49,4,20,7,41,61
22,female,currentlyenrolled,AfricanAmerican,"40-59,999",yes,4,3.333333333,3.3,3.5,68,3.875,27,5,35,78
20,female,currentlyenrolled,white,"100-199,999",yes,4.333333333,2,4.5,3.2,65,3.75,39,5,42,67
18,female,currentlyenrolled,white,"200-999,999",yes,5.166666667,4.466666667,4.3,3.5,80,3.75,36,6,42,41
19,female,currentlyenrolled,AfricanAmerican,"60-79,999",yes,3.166666667,3.266666667,2.9,2.7,70,3.875,45,2,35,73
20,female,currentlyenrolled,white,"60-79,999",yes,5.833333333,3.666666667,2.2,3.7,79,3.875,28,6,39,67
21,female,currentlyenrolled,"1,2","200-999,999",yes,6.666666667,5.2,1.9,3.8,84,3.625,42,9,45,74
20,female,currentlyenrolled,white,"60-79,999",yes,5.166666667,4.066666667,3.2,2.8,71,4,38,4,38,76
22,male,currentlyenrolled,AfricanAmerican,"80-99,999",yes,5.666666667,3.933333333,1.4,3.2,62,3.375,32,5,44,68
20,female,currentlyenrolled,white,"60-79,999",yes,4.166666667,3.066666667,4.2,2.3,66,3.875,26,1,36,76
19,female,currentlyenrolled,"1,3","under20,000",yes,5.333333333,3.8,4.2,3,65,3.875,44,6,46,61
20,female,currentlyenrolled,"1,2,4",not say,yes,3,3.866666667,2.3,3,58,3.125,30,4,35,77
20,female,currentlyenrolled,white,not say,yes,1.833333333,4.533333333,4,2.6,35,3.75,36,1,37,67
22,male,currentlyenrolled,white,not say,no,7,4.2,2.6,3.9,63,3.125,29,9,36,58
21,male,currentlyenrolled,white,not say,yes,4.833333333,3.666666667,3.8,3.2,70,3.75,34,3,36,57
19,female,currentlyenrolled,"1,2,5","100-199,999",yes,6.333333333,2.6,2.9,3.3,79,4,39,3,43,64
20,male,currentlyenrolled,Asian-Pacific,"200-999,999",yes,3.5,4,3.1,2.6,70,4,40,1,38,78
20,female,currentlyenrolled,Asian-Pacific,"200-999,999",yes,4.5,4.2,4.2,3.4,76,4,34,6,38,73
20,female,currentlyenrolled,white,"100-199,999",yes,4,3.466666667,3,2.5,48,2.5,33,7,40,50
20,male,currentlyenrolled,Asian-Pacific,"200-999,999",yes,3.333333333,4,2.4,2.7,60,4,41,1,0,60
20,female,currentlyenrolled,"1,5","200-999,999",yes,1,1.466666667,4.5,3.2,79,4,36,6,32,79
21,female,currentlyenrolled,AfricanAmerican,"under20,000",yes,4,3.333333333,1.9,3.5,77,3.125,31,6,37,64
